,antc,consq,Support  1,count  1,Confidence  2,Added Value  3,Causal Support  4,Causal Confidence  5,Certainty Factor  6,Chi-Squared  7,Collective Strength  8,Conviction  9,Cosine 10,Coverage 11,Confirmed Confidence 12,Difference of Confidence 13,Counter Example 14,Fisher's Exact Test 15,Gini Index 16,Hyper Confidence 17,Hyper Lift 18,Imbalance Ratio 19,Importance 20,Improvement 21,Jaccard Coefficient 22,J-Measure 23,Kappa 24,Klosgen 25,Kulczynski 26,Goodman-Kruskal 27,Laplace Confidence 28,Least Contradiction 29,Lerman Similarity 30,Leverage 31,Lift 32,Max Confidence 33,Mutual Information 34,Odds Ratio 35,Phi Correlation Coeficient 36,Ralambondrainy Measure 37,Relative Linkage Disequilibrium 38,Rule Power Factor 39,Sebag-Schoenauer Measure 40,Varying Rates Liaison 41,Yule's Q 42,Yule's Y 43
367,[1 6],[13],0.26667,4,0.8,0.2,0.8,0.97926,0.5,1.25,6.55738,2.0,0.59628,0.33333,0.2,0.3,0.75,0.58042,0.04,0.70629,0.8,0.4,0.1549,0.0,0.4,0.03051,0.25,0.10328,0.62222,0.0,0.71429,0.44444,-0.69926,0.06667,1.33333,0.8,1.03955,4.0,0.28868,0.06667,0.5,0.21333,4.0,0.33333,0.6,0.33333
368,[ 1 12],[6],0.2,3,1.0,0.4,0.8,1.0,1.0,2.5,8.4,,0.57735,0.2,0.2,0.5,1.0,0.22857,0.08,0.81538,1.0,0.66667,0.20412,0.0,0.33333,,0.28571,0.17889,0.66667,0.0,0.8,0.33333,-0.56704,0.08,1.66667,1.0,,,0.40825,0.0,1.0,0.2,,0.66667,,
369,[1 6],[12],0.2,3,0.6,-0.06667,0.73333,0.96,-0.2,0.15,1.92308,0.83333,0.42426,0.33333,0.06667,-0.1,0.33333,1.0,0.00444,0.16683,0.6,0.41667,-0.06695,-0.17778,0.25,0.00324,-0.08,-0.02981,0.45,0.0,0.57143,0.3,-1.05115,-0.02222,0.9,0.6,0.11628,0.64286,-0.1,0.13333,0.1,0.12,1.5,-0.1,-0.21739,-0.11001
370,[1],[12],0.2,3,0.6,-0.06667,0.73333,0.96,-0.2,0.15,1.92308,0.83333,0.42426,0.33333,0.06667,-0.1,0.33333,1.0,0.00444,0.16683,0.6,0.41667,-0.06695,0.0,0.25,0.00324,-0.08,-0.02981,0.45,0.0,0.57143,0.3,-1.05115,-0.02222,0.9,0.6,0.11628,0.64286,-0.1,0.13333,0.1,0.12,1.5,-0.1,-0.21739,-0.11001
371,[6],[1],0.33333,5,0.55556,0.22222,0.4,0.91704,0.33333,5.0,14.7541,1.5,0.74536,0.6,0.06667,0.55556,0.2,0.04396,0.14815,0.95804,1.0,0.44444,0.63985,0.0,0.55556,0.06215,0.5,0.1283,0.77778,0.2,0.54545,1.0,-0.44106,0.13333,1.66667,1.0,,,0.57735,0.26667,1.0,0.18519,1.25,0.66667,,
372,[1],[6],0.33333,5,1.0,0.4,0.93333,1.0,1.0,5.0,14.7541,,0.74536,0.33333,0.33333,0.6,1.0,0.04396,0.16,0.95804,1.0,0.44444,0.31326,0.0,0.55556,,0.5,0.23094,0.77778,0.33333,0.85714,0.55556,-0.44106,0.13333,1.66667,1.0,,,0.57735,0.0,1.0,0.33333,,0.66667,,
373,[1],[13],0.26667,4,0.8,0.2,0.8,0.97926,0.5,1.25,6.55738,2.0,0.59628,0.33333,0.2,0.3,0.75,0.58042,0.04,0.70629,0.8,0.4,0.1549,0.0,0.4,0.03051,0.25,0.10328,0.62222,0.0,0.71429,0.44444,-0.69926,0.06667,1.33333,0.8,1.03955,4.0,0.28868,0.06667,0.5,0.21333,4.0,0.33333,0.6,0.33333
374,[2],[12],0.2,3,0.5,-0.16667,0.66667,0.94667,-0.5,1.25,0.97297,0.66667,0.3873,0.4,0.0,-0.27778,0.0,0.32867,0.03704,0.04695,0.5,0.30769,-0.16273,0.0,0.23077,0.02356,-0.25,-0.07454,0.4,0.0,0.5,0.3,-1.2254,-0.06667,0.75,0.5,0.97637,0.28571,-0.28868,0.2,0.33333,0.1,1.0,-0.25,-0.55556,-0.30334
375,[ 9 12 13],[6],0.26667,4,1.0,0.4,0.86667,1.0,1.0,3.63636,11.13962,,0.66667,0.26667,0.26667,0.54545,1.0,0.1033,0.11636,0.90769,1.0,0.55556,0.25661,0.0,0.44444,,0.39024,0.20656,0.72222,0.16667,0.83333,0.44444,-0.5164,0.10667,1.66667,1.0,,,0.49237,0.0,1.0,0.26667,,0.66667,,
376,[ 6 12 13],[9],0.26667,4,0.8,0.4,0.6,0.97556,0.66667,5.0,22.85714,3.0,0.7303,0.33333,0.2,0.6,0.75,0.08891,0.16,0.95305,1.0,0.14286,0.45593,0.0,0.57143,0.1116,0.57143,0.20656,0.73333,0.5,0.71429,0.66667,-0.38142,0.13333,2.0,0.8,4.06768,16.0,0.57735,0.06667,0.66667,0.21333,4.0,1.0,0.88235,0.6
377,[ 6  9 13],[12],0.26667,4,1.0,0.33333,0.93333,1.0,1.0,2.72727,7.7381,,0.63246,0.26667,0.26667,0.45455,1.0,0.23077,0.08081,0.84615,1.0,0.6,0.18966,0.0,0.4,,0.30769,0.17213,0.7,0.0,0.83333,0.4,-0.6002,0.08889,1.5,1.0,,,0.4264,0.0,1.0,0.26667,,0.5,,
378,[ 6  9 12],[13],0.26667,4,0.8,0.2,0.8,0.97926,0.5,1.25,6.55738,2.0,0.59628,0.33333,0.2,0.3,0.75,0.58042,0.04,0.70629,0.8,0.4,0.1549,0.0,0.4,0.03051,0.25,0.10328,0.62222,0.0,0.71429,0.44444,-0.69926,0.06667,1.33333,0.8,1.03955,4.0,0.28868,0.06667,0.5,0.21333,4.0,0.33333,0.6,0.33333
379,[12 13],[9],0.26667,4,0.8,0.4,0.6,0.97556,0.66667,5.0,22.85714,3.0,0.7303,0.33333,0.2,0.6,0.75,0.08891,0.16,0.95305,1.0,0.14286,0.45593,0.2,0.57143,0.1116,0.57143,0.20656,0.73333,0.5,0.71429,0.66667,-0.38142,0.13333,2.0,0.8,4.06768,16.0,0.57735,0.06667,0.66667,0.21333,4.0,1.0,0.88235,0.6
380,[ 9 13],[12],0.26667,4,1.0,0.33333,0.93333,1.0,1.0,2.72727,7.7381,,0.63246,0.26667,0.26667,0.45455,1.0,0.23077,0.08081,0.84615,1.0,0.6,0.18966,0.0,0.4,,0.30769,0.17213,0.7,0.0,0.83333,0.4,-0.6002,0.08889,1.5,1.0,,,0.4264,0.0,1.0,0.26667,,0.5,,
381,[ 9 12],[13],0.26667,4,0.66667,0.06667,0.73333,0.96296,0.16667,0.18519,3.87578,1.2,0.54433,0.4,0.13333,0.11111,0.5,1.0,0.00593,0.45455,0.66667,0.27273,0.05912,0.0,0.36364,0.00379,0.10256,0.03443,0.55556,0.0,0.625,0.44444,-0.86457,0.02667,1.11111,0.66667,0.13883,1.6,0.11111,0.13333,0.16667,0.17778,2.0,0.11111,0.23077,0.11696
382,[ 9 13],[6],0.26667,4,1.0,0.4,0.86667,1.0,1.0,3.63636,11.13962,,0.66667,0.26667,0.26667,0.54545,1.0,0.1033,0.11636,0.90769,1.0,0.55556,0.25661,0.16667,0.44444,,0.39024,0.20656,0.72222,0.16667,0.83333,0.44444,-0.5164,0.10667,1.66667,1.0,,,0.49237,0.0,1.0,0.26667,,0.66667,,
383,[ 6 13],[9],0.26667,4,0.57143,0.17143,0.46667,0.9381,0.28571,1.60714,9.03051,1.4,0.61721,0.46667,0.06667,0.32143,0.25,0.31469,0.05143,0.76923,0.8,0.11111,0.26761,0.01587,0.44444,0.02782,0.32432,0.08853,0.61905,0.16667,0.55556,0.66667,-0.64052,0.08,1.42857,0.66667,1.21266,4.0,0.32733,0.2,0.375,0.15238,1.33333,0.42857,0.6,0.33333
384,[6 9],[13],0.26667,4,0.8,0.2,0.8,0.97926,0.5,1.25,6.55738,2.0,0.59628,0.33333,0.2,0.3,0.75,0.58042,0.04,0.70629,0.8,0.4,0.1549,0.02222,0.4,0.03051,0.25,0.10328,0.62222,0.0,0.71429,0.44444,-0.69926,0.06667,1.33333,0.8,1.03955,4.0,0.28868,0.06667,0.5,0.21333,4.0,0.33333,0.6,0.33333
385,[ 9 12],[6],0.33333,5,0.83333,0.23333,0.86667,0.98148,0.58333,2.26852,8.47826,2.4,0.68041,0.4,0.26667,0.38889,0.8,0.28671,0.07259,0.83217,0.83333,0.3,0.21748,0.0,0.5,0.05114,0.35897,0.13472,0.69444,0.16667,0.75,0.55556,-0.60637,0.09333,1.38889,0.83333,1.79663,6.25,0.38889,0.06667,0.58333,0.27778,5.0,0.38889,0.72414,0.42857
386,[ 6 12],[9],0.33333,5,0.71429,0.31429,0.6,0.95873,0.52381,5.40179,21.94915,2.1,0.77152,0.46667,0.2,0.58929,0.6,0.04056,0.17286,0.96503,1.0,0.125,0.52288,0.11429,0.625,0.09435,0.59459,0.18145,0.77381,0.5,0.66667,0.83333,-0.38233,0.14667,1.78571,0.83333,4.29878,17.5,0.6001,0.13333,0.6875,0.2381,2.5,0.78571,0.89189,0.61415
387,[6 9],[12],0.33333,5,1.0,0.33333,1.0,1.0,1.0,3.75,9.61538,,0.70711,0.33333,0.33333,0.5,1.0,0.1009,0.11111,0.91608,1.0,0.5,0.23408,0.0,0.5,,0.4,0.19245,0.75,0.0,0.85714,0.5,-0.53475,0.11111,1.5,1.0,,,0.5,0.0,1.0,0.33333,,0.5,,
388,[12],[9],0.4,6,0.6,0.2,0.53333,0.92889,0.33333,5.0,12.16216,1.5,0.7746,0.66667,0.13333,0.6,0.33333,0.04396,0.16,0.95804,1.0,0.4,0.61101,0.0,0.6,0.05406,0.5,0.12649,0.8,0.33333,0.58333,1.0,-0.45081,0.13333,1.5,1.0,,,0.57735,0.26667,1.0,0.24,1.5,0.5,,
389,[9],[12],0.4,6,1.0,0.33333,1.06667,1.0,1.0,5.0,12.16216,,0.7746,0.4,0.4,0.55556,1.0,0.04396,0.14815,0.95804,1.0,0.4,0.28443,0.0,0.6,,0.5,0.21082,0.8,0.2,0.875,0.6,-0.45081,0.13333,1.5,1.0,,,0.57735,0.0,1.0,0.4,,0.5,,
390,[9],[6],0.33333,5,0.83333,0.23333,0.86667,0.98148,0.58333,2.26852,8.47826,2.4,0.68041,0.4,0.26667,0.38889,0.8,0.28671,0.07259,0.83217,0.83333,0.3,0.21748,0.0,0.5,0.05114,0.35897,0.13472,0.69444,0.16667,0.75,0.55556,-0.60637,0.09333,1.38889,0.83333,1.79663,6.25,0.38889,0.06667,0.58333,0.27778,5.0,0.38889,0.72414,0.42857
391,[6],[9],0.33333,5,0.55556,0.15556,0.46667,0.92593,0.25926,2.26852,8.47826,1.35,0.68041,0.6,0.06667,0.38889,0.2,0.28671,0.07259,0.83217,0.83333,0.3,0.33882,0.0,0.5,0.02947,0.35897,0.08981,0.69444,0.16667,0.54545,0.83333,-0.60637,0.09333,1.38889,0.83333,1.79663,6.25,0.38889,0.26667,0.58333,0.18519,1.25,0.38889,0.72414,0.42857
392,[9],[13],0.26667,4,0.66667,0.06667,0.73333,0.96296,0.16667,0.18519,3.87578,1.2,0.54433,0.4,0.13333,0.11111,0.5,1.0,0.00593,0.45455,0.66667,0.27273,0.05912,0.0,0.36364,0.00379,0.10256,0.03443,0.55556,0.0,0.625,0.44444,-0.86457,0.02667,1.11111,0.66667,0.13883,1.6,0.11111,0.13333,0.16667,0.17778,2.0,0.11111,0.23077,0.11696
393,[12 13],[6],0.33333,5,1.0,0.4,0.93333,1.0,1.0,5.0,14.7541,,0.74536,0.33333,0.33333,0.6,1.0,0.04396,0.16,0.95804,1.0,0.44444,0.31326,0.22222,0.55556,,0.5,0.23094,0.77778,0.33333,0.85714,0.55556,-0.44106,0.13333,1.66667,1.0,,,0.57735,0.0,1.0,0.33333,,0.66667,,
394,[ 6 13],[12],0.33333,5,0.71429,0.04762,0.86667,0.96762,0.14286,0.13393,2.96902,1.16667,0.59761,0.46667,0.2,0.08929,0.6,1.0,0.00397,0.42657,0.71429,0.25,0.04576,-0.06349,0.41667,0.00244,0.08696,0.02749,0.60714,0.0,0.66667,0.5,-0.86925,0.02222,1.07143,0.71429,0.10576,1.5,0.09449,0.13333,0.14286,0.2381,2.5,0.07143,0.2,0.10102
395,[ 6 12],[13],0.33333,5,0.71429,0.11429,0.8,0.96614,0.28571,0.71429,4.93506,1.4,0.62994,0.46667,0.2,0.21429,0.6,0.60839,0.02286,0.62238,0.83333,0.18182,0.12494,-0.06349,0.45455,0.01325,0.21053,0.06598,0.63492,0.0,0.66667,0.55556,-0.7584,0.05333,1.19048,0.71429,0.53804,2.5,0.21822,0.13333,0.28571,0.2381,2.5,0.19048,0.42857,0.22515
